StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q5,Q4,Q7,Q19,Q19_5_TEXT,Q9,Q9_5_TEXT,Q6,Q18,Q13,Q15,Q11,Q23,Q12,Q14,Q17,Q24,Q8,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q1,Q21,Q31,Q33,Q32,Q37,Q38,Q39,Q34
4/18/22 7:05,4/18/22 7:09,,,,,anonymous,EN,1,My first significant job was teller at a credit union.,lower class,3,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),I did not approach or discuss with my mother for any of the above functions",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals),I did not approach or discuss with my father for any of the above functions",,Personal friend(s)/acquaintance(s) (that you met independently),No,Less than close,Weekly,lower class,High School,Less than close,Weekly,No,High School,lower class,,,Information or technical guidance regarding job or job search process,,,,,,18-24,High School,White,Female,No,lower class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 7:05,4/18/22 7:11,,,,,anonymous,EN,1,"Right down the road closer than any neighboring house was a pizza and ice cream shop, yum! Brick oven pizza and hand churned ice cream, yes please! Best first job experience ever!",middle class,20,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,"Sibling(s),Relative(s),Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through sibling,Friend(s)/acquaintance(s) first met through personal friend",No,Distant,Less often,middle class,Master's Degree,Less than close,Monthly,No,Master's Degree,middle class,Information or technical guidance regarding job or job search process,Information or technical guidance regarding job or job search process,Information or technical guidance regarding job or job search process,,Information or technical guidance regarding job or job search process,,Information or technical guidance regarding job or job search process,,18-24,High School,White,Male,No,working class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 7:10,4/18/22 7:12,,,,,anonymous,EN,0.899999976,local grocery store,working class,3,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Friend(s)/acquaintance(s) first met through personal friend,No,Close,Weekly,working class,High School,Close,Weekly,No,Bachelor's Degree,middle class,,,,,,,Connection to other individuals,,25-34,High School,White,Male,No,working class,Friend(s)/acquaintance(s) first met through personal friend,,Event/time of my first significant job search experience
4/18/22 7:10,4/18/22 7:15,,,,,anonymous,EN,0.899999976,"My first regular job was selling food (popcorn, candy, soda) at a local movie theater.",lower class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Especially close,Daily,lower class,High School,Close,Daily,No,Middle School,lower class,,,Direct job referral,,,,,,18-24,High School,White,Female,No,lower class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 7:22,4/18/22 7:25,,,,,anonymous,EN,0.899999976,I worked for a bank. I was in the marketing department and did web projects and social media. It was not great.,middle class,25,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals),,I did not speak with anyone above,No,Especially close,Daily,middle class,High School,Close,Daily,Yes,Bachelor's Degree,middle class,,,,,,,,,35-44,Master's Degree,White,Male,No,middle class,,Mother,Event/time of my first significant job search experience
4/18/22 7:23,4/18/22 7:26,,,,,anonymous,EN,1,My first real job was working full time as a customer service agent in a large call center,working class,2,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Close,Weekly,working class,High School,Close,Weekly,No,High School,working class,,,"Information or technical guidance regarding job or job search process,Direct job referral",,,,,,18-24,High School,White,Male,No,working class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 7:24,4/18/22 7:27,,,,,anonymous,EN,0.800000012,"I am passionate about my work. Because I love what I do, I have a steady source of motivation that drives me to do my best. In my last job, this passion led me to challenge myself daily and learn new skills that helped me to do better work. For example, I taught myself how to use Photoshop to improve the quality of our photos and graphics. I soon became the go-to person for any design needs.",middle class,12,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,I did not approach or discuss with my father for any of the above functions,,Friend(s)/acquaintance(s) first met through personal friend,Yes,Especially close,Daily,middle class,Bachelor's Degree,Especially close,Daily,No,Bachelor's Degree,middle class,,,,,,,Connection to other individuals,,25-34,Bachelor's Degree,White,Female,No,middle class,Mother,,Event/time of my first significant job search experience
4/18/22 7:27,4/18/22 7:32,,,,,anonymous,EN,1,I was in charge of a small team of people working on a software development project,middle class,4,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Personal friend(s)/acquaintance(s) (that you met independently),No,Close,Weekly,middle class,High School,Close,Weekly,No,High School,middle class,,,Information or technical guidance regarding job or job search process,,,,,,25-34,Bachelor's Degree,White,Male,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
4/18/22 7:15,4/18/22 7:35,,,,,anonymous,EN,0.899999976,i m very sincere that job and  develop professionally,working class,5,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Direct job referral (e.g. your mother submitted you as a candidate to the job directly or your mother hired you for your first significant job)",,Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals),,"Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through sibling",Yes,Close,Daily,middle class,Bachelor's Degree,Close,Daily,Yes,Bachelor's Degree,working class,,,Direct job referral,,Connection to other individuals,,,,35-44,Bachelor's Degree,White,Female,No,middle class,Mother,,Current time of my life
4/18/22 7:33,4/18/22 7:40,,,,,anonymous,EN,1,Engineer Trainee - The first job was significant to me. I was given an opportunity to have a glance over all departments to see the functions of every department and I was specifically told to notice the functions so that I will be able to understand and decide when given the authority.,middle class,5,Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals),,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Sibling(s),Relative(s)",No,Especially close,Weekly,middle class,Bachelor's Degree,Especially close,Weekly,No,Bachelor's Degree,middle class,Information or technical guidance regarding job or job search process,"Information or technical guidance regarding job or job search process,Connection to other individuals",,,,,,,18-24,Bachelor's Degree,Asian,Female,No,middle class,Relative(s),,Event/time of my first significant job search experience
4/18/22 7:41,4/18/22 7:43,,,,,anonymous,EN,1,Package handler at FedEx,working class,1,I did not approach or discuss with my mother for any of the above functions,,I did not approach or discuss with my father for any of the above functions,,I did not speak with anyone above,No,Close,Daily,working class,High School,Less than close,Weekly,No,High School,working class,,,,,,,,,25-34,Bachelor's Degree,White,Male,No,working class,,Mother,Event/time of my first significant job search experience
4/18/22 7:48,4/18/22 7:53,,,,,anonymous,EN,1,"I was an Intelligence Analyst in the Army.  I was responsible for combining the human, signals and other types of intelligence into reports for the command staff.",middle class,5,I did not approach or discuss with my mother for any of the above functions,,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,Personal friend(s)/acquaintance(s) (that you met independently),No,Especially close,Daily,middle class,Bachelor's Degree,Close,Daily,No,Ph.D. or higher,middle class,,,Information or technical guidance regarding job or job search process,,,,,,18-24,High School,White,Male,No,working class,Father,,Event/time of my first significant job search experience
4/18/22 7:53,4/18/22 7:55,,,,,anonymous,EN,0.899999976,To design garden baskets and accessories for retail,working class,5,I did not approach or discuss with my mother for any of the above functions,,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your father to connect you to his friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,Relative(s),No,Close,Weekly,lower class,Bachelor's Degree,Close,Weekly,No,Bachelor's Degree,upper class,,Did not reach out to them for these reasons,,,,,,,25-34,Bachelor's Degree,White,Female,No,working class,Father,,Event/time of my first significant job search experience
4/18/22 8:07,4/18/22 8:12,,,,,anonymous,EN,0.899999976,I was a sever at a mid-teir restaurant. Taught me a lot about customer service.,working class,3,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,I did not approach or discuss with my father for any of the above functions,,Personal friend(s)/acquaintance(s) (that you met independently),No,Especially close,Daily,middle class,Ph.D. or higher,Distant,Less often,cannot answer,High School,cannot answer,,,Information or technical guidance regarding job or job search process,,,,,,18-24,High School,White,Female,No,working class,Mother,,Event/time of my first significant job search experience
4/18/22 8:18,4/18/22 8:25,,,,,anonymous,EN,1,"Junior Graphic Designer - creating drafts for small graphic design projects, taking care of the simplest parts of bigger design projects.",middle class,30,"Information or technical guidance regarding job or job search process (e.g. you spoke with your mother about general job duties, candidate requirements, hiring process, etc.),Connection to others (e.g. you asked your mother to connect you to her friends/acquaintances so that you could speak to them for information or job opportunities/referrals)",,"Information or technical guidance regarding job or job search process (e.g. you spoke with your father about general job duties, candidate requirements, hiring process, etc.)",,"Sibling(s),Personal friend(s)/acquaintance(s) (that you met independently),Friend(s)/acquaintance(s) first met through personal friend",No,Close,Daily,middle class,Bachelor's Degree,Close,Daily,No,Bachelor's Degree,middle class,Information or technical guidance regarding job or job search process,,"Information or technical guidance regarding job or job search process,Connection to other individuals",,,,Connection to other individuals,,18-24,Bachelor's Degree,White,Female,No,middle class,Personal friend(s)/acquaintance(s) (that you met independently),,Event/time of my first significant job search experience
